start_time, eye_data_get_time, eye_data_pack_time, image_data_get_time, image_process_time, image_data_pack_time, end_time, iterations
1664462559292985592, 1664462559293009980, 1664462559300328221, 1664462559299639114, 1664462559303333504, 1664462559306253418, 1664462559307505703, 49
1664462559313166763, 1664462559313191455, 1664462559330378491, 1664462559329930989, 1664462559332968960, 1664462559335621458, 1664462559336833056, 50
1664462559337653234, 1664462559337670640, 1664462559364595348, 1664462559363928140, 1664462559369101747, 1664462559373123479, 1664462559374943910, 51
1664462559376083256, 1664462559376106549, 1664462559383420290, 1664462559382848275, 1664462559386894551, 1664462559390634040, 1664462559392193154, 52
1664462559393285490, 1664462559393309954, 1664462559403472104, 1664462559402752497, 1664462559407186013, 1664462559411036296, 1664462559412575846, 53
1664462559413681799, 1664462559413706416, 1664462559414885013, 1664462559414346505, 1664462559418623278, 1664462559421313637, 1664462559422503726, 54
1664462559432851787, 1664462559432864482, 1664462559433148241, 1664462559432886499, 1664462559434695584, 1664462559436331072, 1664462559437106905, 55
1664462559452898228, 1664462559452915376, 1664462559461678921, 1664462559461374116, 1664462559463272511, 1664462559464960032, 1664462559465749219, 56
1664462559472869648, 1664462559472881674, 1664462559477306900, 1664462559477060281, 1664462559478862726, 1664462559480497395, 1664462559481301940, 57
1664462559492847354, 1664462559492859634, 1664462559493572258, 1664462559493326380, 1664462559495125098, 1664462559496754241, 1664462559497539869, 58
1664462559512945717, 1664462559512963505, 1664462559513298624, 1664462559512989851, 1664462559515147455, 1664462559517045507, 1664462559517968083, 59
1664462559532941506, 1664462559532961506, 1664462559533291174, 1664462559532987276, 1664462559535128452, 1664462559537017721, 1664462559537905431, 60
1664462559552896485, 1664462559552912372, 1664462559553234915, 1664462559552939234, 1664462559555061239, 1664462559556980495, 1664462559557868649, 61
1664462559572948245, 1664462559572965336, 1664462559573302455, 1664462559572993647, 1664462559575109760, 1664462559576999584, 1664462559577902465, 62
1664462559592916925, 1664462559592934789, 1664462559600737462, 1664462559600323206, 1664462559602546289, 1664462559604464936, 1664462559605374284, 63
1664462559613012101, 1664462559613039153, 1664462559619123718, 1664462559618510205, 1664462559622738134, 1664462559626648321, 1664462559628679856, 64
1664462559633026016, 1664462559633055397, 1664462559633693109, 1664462559633103607, 1664462559637220813, 1664462559640096310, 1664462559641315273, 65
1664462559652890063, 1664462559652908176, 1664462559653280536, 1664462559652937724, 1664462559655193464, 1664462559657236833, 1664462559658180544, 66
1664462559672912511, 1664462559672935478, 1664462559673511846, 1664462559672973586, 1664462559675431957, 1664462559677451028, 1664462559678501450, 67
1664462559692890951, 1664462559692907343, 1664462559693244143, 1664462559692933306, 1664462559695181190, 1664462559697225590, 1664462559698155626, 68
1664462559712844228, 1664462559712859069, 1664462559716068263, 1664462559715743834, 1664462559717967422, 1664462559719990944, 1664462559720929888, 69
1664462559733112003, 1664462559733134228, 1664462559749010022, 1664462559748368395, 1664462559752776314, 1664462559756634176, 1664462559758323865, 70
1664462559759485230, 1664462559759509846, 1664462559771413129, 1664462559770780768, 1664462559774885115, 1664462559778709210, 1664462559780282520, 71
1664462559781372877, 1664462559781396812, 1664462559788738551, 1664462559787865520, 1664462559793025660, 1664462559796962468, 1664462559798878695, 72
1664462559799705115, 1664462559799722646, 1664462559800260459, 1664462559799896040, 1664462559802857419, 1664462559804860935, 1664462559805767575, 73
1664462559812864672, 1664462559812876138, 1664462559813116482, 1664462559812895627, 1664462559814672669, 1664462559816308173, 1664462559817087651, 74
1664462559832895534, 1664462559832908671, 1664462559833164638, 1664462559832926666, 1664462559834489444, 1664462559835867376, 1664462559836534209, 75
1664462559852889326, 1664462559852904544, 1664462559853212981, 1664462559852925502, 1664462559854704507, 1664462559856265862, 1664462559857002355, 76
1664462559872865238, 1664462559872878369, 1664462559873220335, 1664462559872918849, 1664462559875526195, 1664462559878195298, 1664462559879532478, 77
1664462559892829462, 1664462559892839023, 1664462559893003649, 1664462559892852872, 1664462559893843106, 1664462559894682260, 1664462559895190228, 78
1664462559912989543, 1664462559913002468, 1664462559913248880, 1664462559913025094, 1664462559914359480, 1664462559915509543, 1664462559916046911, 79
1664462559932870914, 1664462559932888322, 1664462559933212136, 1664462559932912580, 1664462559934905143, 1664462559936723909, 1664462559937617349, 80
1664462559953020842, 1664462559953049495, 1664462559953605523, 1664462559953092948, 1664462559956869699, 1664462559960251485, 1664462559961930668, 81
1664462559972989630, 1664462559973014714, 1664462559975236684, 1664462559974692933, 1664462559978423626, 1664462559981797176, 1664462559983348787, 82
1664462559992981137, 1664462559993006448, 1664462559994110539, 1664462559993611845, 1664462559997366957, 1664462560000755089, 1664462560002232942, 83
1664462560013057200, 1664462560013094985, 1664462560013930380, 1664462560013152956, 1664462560017941624, 1664462560021989281, 1664462560023639375, 84
1664462560033001413, 1664462560033029377, 1664462560033997927, 1664462560033462889, 1664462560037605832, 1664462560041404904, 1664462560042965569, 85
1664462560052998089, 1664462560053025098, 1664462560073330204, 1664462560072729574, 1664462560076879901, 1664462560080612780, 1664462560082269526, 86
1664462560083444529, 1664462560083468529, 1664462560091478327, 1664462560090439844, 1664462560095488054, 1664462560099240997, 1664462560100805127, 87
1664462560102361702, 1664462560102388294, 1664462560108634906, 1664462560107926320, 1664462560112142327, 1664462560114978647, 1664462560116195772, 88
1664462560116993687, 1664462560117011751, 1664462560117998140, 1664462560117638530, 1664462560119975034, 1664462560121951273, 1664462560122885548, 89
1664462560132906311, 1664462560132920195, 1664462560136592992, 1664462560136220580, 1664462560138146626, 1664462560139662111, 1664462560140332388, 90
1664462560153166863, 1664462560153222290, 1664462560156236097, 1664462560155650161, 1664462560159735725, 1664462560163807596, 1664462560165632102, 91
1664462560173130801, 1664462560173159157, 1664462560180245666, 1664462560179651968, 1664462560183769213, 1664462560187480094, 1664462560189035049, 92
1664462560193016555, 1664462560193043663, 1664462560193599450, 1664462560193088402, 1664462560197451701, 1664462560201142153, 1664462560202668237, 93
1664462560213103492, 1664462560213133838, 1664462560213746837, 1664462560213181746, 1664462560217276040, 1664462560221121127, 1664462560222798942, 94
1664462560233019343, 1664462560233046534, 1664462560233619891, 1664462560233091338, 1664462560237130145, 1664462560240803765, 1664462560242341512, 95
1664462560252993578, 1664462560253018476, 1664462560253500767, 1664462560253054598, 1664462560256018384, 1664462560258640451, 1664462560259879660, 96
1664462560273041609, 1664462560273083440, 1664462560282284629, 1664462560281572037, 1664462560284812787, 1664462560287469102, 1664462560288688352, 97
1664462560292887552, 1664462560292908097, 1664462560293777659, 1664462560293386593, 1664462560296838807, 1664462560299607484, 1664462560300826406, 98
1664462560313029937, 1664462560313057697, 1664462560313872565, 1664462560313108782, 1664462560317406071, 1664462560321070351, 1664462560322598707, 99
1664462560333139273, 1664462560333201566, 1664462560333959236, 1664462560333276982, 1664462560337534466, 1664462560341318482, 1664462560342874648, 100
1664462560353084017, 1664462560353141086, 1664462560354264381, 1664462560353231502, 1664462560357787718, 1664462560361595973, 1664462560363278558, 101
1664462560372945988, 1664462560372964342, 1664462560373311142, 1664462560372990091, 1664462560375263720, 1664462560377347881, 1664462560378235843, 102
1664462560392868370, 1664462560392880697, 1664462560393130072, 1664462560392900550, 1664462560394669992, 1664462560396288165, 1664462560397108785, 103
1664462560412947810, 1664462560412964223, 1664462560425839941, 1664462560425519739, 1664462560427689466, 1664462560430023057, 1664462560431184520, 104
1664462560432913307, 1664462560432930307, 1664462560435651133, 1664462560435313967, 1664462560437814362, 1664462560440130489, 1664462560441167767, 105
1664462560452938451, 1664462560452956900, 1664462560458284585, 1664462560457918954, 1664462560460484486, 1664462560462994327, 1664462560464118534, 106
1664462560472959292, 1664462560472986935, 1664462560473665465, 1664462560473033920, 1664462560475955766, 1664462560478447989, 1664462560479530162, 107
1664462560492925304, 1664462560492942777, 1664462560493306819, 1664462560492971633, 1664462560495576425, 1664462560498029231, 1664462560499139213, 108
1664462560512962820, 1664462560512983575, 1664462560513385421, 1664462560513020479, 1664462560515570361, 1664462560517848757, 1664462560518877773, 109
1664462560532956790, 1664462560532978194, 1664462560533824381, 1664462560533438408, 1664462560536045200, 1664462560538314543, 1664462560539390670, 110
1664462560552989031, 1664462560553009585, 1664462560553398285, 1664462560553040564, 1664462560555647918, 1664462560557970552, 1664462560559051399, 111
1664462560572927870, 1664462560572948283, 1664462560573382305, 1664462560572985476, 1664462560576190755, 1664462560579092966, 1664462560580394062, 112
1664462560593045121, 1664462560593070390, 1664462560593558795, 1664462560593113415, 1664462560596283234, 1664462560599290402, 1664462560600602558, 113
1664462560613026912, 1664462560613053756, 1664462560613611685, 1664462560613094189, 1664462560616475105, 1664462560619557157, 1664462560620945603, 114
1664462560632961569, 1664462560632983218, 1664462560633427378, 1664462560633023232, 1664462560636166783, 1664462560639043625, 1664462560640348833, 115
1664462560653104885, 1664462560653130010, 1664462560653608826, 1664462560653166854, 1664462560656547543, 1664462560659515768, 1664462560660839348, 116
1664462560672997375, 1664462560673019712, 1664462560673507534, 1664462560673055301, 1664462560676241454, 1664462560679115808, 1664462560680421041, 117
1664462560693024400, 1664462560693050285, 1664462560695644664, 1664462560695184013, 1664462560698466532, 1664462560701378305, 1664462560702710697, 118
1664462560713023639, 1664462560713050642, 1664462560717596441, 1664462560717131925, 1664462560720345294, 1664462560723422695, 1664462560724778984, 119
1664462560733010274, 1664462560733035378, 1664462560733538573, 1664462560733074644, 1664462560736259362, 1664462560739181254, 1664462560740499240, 120
1664462560752976542, 1664462560752999609, 1664462560754178203, 1664462560753547323, 1664462560757221665, 1664462560760145095, 1664462560761409849, 121
1664462560773013946, 1664462560773035946, 1664462560773501852, 1664462560773074649, 1664462560776392262, 1664462560779380123, 1664462560780690906, 122
1664462560792962445, 1664462560792986436, 1664462560794262651, 1664462560793781018, 1664462560797027476, 1664462560799923987, 1664462560801218675, 123
1664462560812944366, 1664462560812965656, 1664462560825672424, 1664462560825180865, 1664462560828376233, 1664462560831317282, 1664462560832681786, 124
1664462560833582677, 1664462560833602097, 1664462560841831340, 1664462560841383630, 1664462560844761356, 1664462560847633031, 1664462560848920081, 125
1664462560852995306, 1664462560853028135, 1664462560864515471, 1664462560864040055, 1664462560867228952, 1664462560870058554, 1664462560871354585, 126
1664462560872940750, 1664462560872962485, 1664462560873401502, 1664462560872997464, 1664462560876120628, 1664462560879052335, 1664462560880371079, 127
1664462560892953948, 1664462560892976074, 1664462560893441046, 1664462560893011701, 1664462560896268395, 1664462560899248263, 1664462560900531050, 128
1664462560912986597, 1664462560913010940, 1664462560913563939, 1664462560913049935, 1664462560916506193, 1664462560919013908, 1664462560920006473, 129
1664462560932898757, 1664462560932911540, 1664462560933186879, 1664462560932931828, 1664462560934543827, 1664462560936001827, 1664462560936695672, 130
1664462560952922563, 1664462560952936580, 1664462560963756912, 1664462560962539322, 1664462560967457434, 1664462560971349848, 1664462560972933613, 131
1664462560974121493, 1664462560974146524, 1664462560986247268, 1664462560985360736, 1664462560990468189, 1664462560995019150, 1664462560996738921, 132
1664462560997870906, 1664462560997888835, 1664462561004474438, 1664462561004080717, 1664462561007102071, 1664462561009747083, 1664462561010988383, 133
1664462561012949432, 1664462561012969637, 1664462561025489300, 1664462561024855042, 1664462561028175269, 1664462561030958241, 1664462561032226838, 134
1664462561033135284, 1664462561033171072, 1664462561034165608, 1664462561033771549, 1664462561036924578, 1664462561039663320, 1664462561040856589, 135
1664462561053026924, 1664462561053046903, 1664462561055371049, 1664462561055040306, 1664462561057257482, 1664462561059276770, 1664462561060174840, 136
1664462561072881216, 1664462561072897056, 1664462561073234428, 1664462561072922382, 1664462561075196510, 1664462561077416815, 1664462561078391492, 137
1664462561093315915, 1664462561093349202, 1664462561104096358, 1664462561103440636, 1664462561107704530, 1664462561111363161, 1664462561112883735, 138
1664462561114016409, 1664462561114040738, 1664462561115506566, 1664462561114972888, 1664462561118979228, 1664462561122581944, 1664462561124076048, 139
