start_time, eye_data_get_time, eye_data_pack_time, image_data_get_time, image_process_time, image_data_pack_time, end_time, iterations
1664970264302353248, 1664970264302366944, 1664970264303063347, 1664970264302892870, 1664970264307361290, 1664970264308866180, 1664970264310691106, 1
1664970264322299196, 1664970264322308500, 1664970264322531808, 1664970264322409247, 1664970264323487453, 1664970264324914114, 1664970264325438721, 2
1664970264342293292, 1664970264342303697, 1664970264342470536, 1664970264342319609, 1664970264343434706, 1664970264345115223, 1664970264345648125, 3
1664970264362368875, 1664970264362375331, 1664970264362800861, 1664970264362664625, 1664970264363773764, 1664970264365123380, 1664970264365616690, 4
1664970264382411373, 1664970264382421493, 1664970264382555957, 1664970264382439757, 1664970264383370564, 1664970264384209283, 1664970264384660665, 5
1664970264402515566, 1664970264402525426, 1664970264402659040, 1664970264402543174, 1664970264403541884, 1664970264404394279, 1664970264404835785, 6
1664970264422377714, 1664970264422393993, 1664970264424364904, 1664970264424213649, 1664970264425325689, 1664970264426469669, 1664970264427048987, 7
1664970264442378638, 1664970264442390143, 1664970264453407399, 1664970264453139205, 1664970264455517125, 1664970264458104667, 1664970264459284823, 8
1664970264462428841, 1664970264462448354, 1664970264462738840, 1664970264462480809, 1664970264465177798, 1664970264467713483, 1664970264468824119, 9
1664970264482473835, 1664970264482499360, 1664970264482861938, 1664970264482539994, 1664970264486009889, 1664970264489292095, 1664970264490681482, 10
1664970264502489176, 1664970264502514438, 1664970264502883258, 1664970264502556880, 1664970264506237031, 1664970264510213429, 1664970264512022412, 11
1664970264522495166, 1664970264522521175, 1664970264524647342, 1664970264524278622, 1664970264527995993, 1664970264531354026, 1664970264532950262, 12
1664970264542580628, 1664970264542612635, 1664970264543083207, 1664970264542665660, 1664970264546400817, 1664970264549782312, 1664970264551216934, 13
1664970264562551544, 1664970264562580371, 1664970264563011493, 1664970264562623391, 1664970264566135000, 1664970264569447545, 1664970264570865506, 14
1664970264582720450, 1664970264582751974, 1664970264583209089, 1664970264582803486, 1664970264586329407, 1664970264589822024, 1664970264591247672, 15
1664970264602607610, 1664970264602648914, 1664970264603276288, 1664970264602711683, 1664970264606569049, 1664970264609961573, 1664970264611237980, 16
1664970264622463412, 1664970264622485219, 1664970264622792580, 1664970264622517145, 1664970264625068302, 1664970264627465598, 1664970264628552378, 17
1664970264642610302, 1664970264642633899, 1664970264642957464, 1664970264642674219, 1664970264645465474, 1664970264647907489, 1664970264648943293, 18
